trueloc,idall,id1,id2,id3,id4,  seall,se1,se2,se3,se4,  zall,z1,z2,z3,z4,  zzall,zz1,zz2,zz3,zz4
-0.785 ,-0.409 ,-1.826 ,-1.330 , 0.144 , 0.416 , 0.445 , 1.137 , 1.253 , 0.944 , 0.749 ,-0.015 ,-0.004 , 0.155 ,-0.042 , 0.030 , 0.994 , 0.965 , 2.059 , 1.182 , 0.491
 0.686 , 0.632 ,-0.137 , 1.654 , 2.291 ,-0.140 , 0.444 , 0.976 , 1.187 , 1.159 , 0.675 , 0.011 , 0.012 , 0.018 , 0.039 ,-0.021 , 1.049 , 0.926 , 0.893 , 0.718 , 0.795
 1.685 , 1.062 , 0.356 , 0.016 , 1.434 , 2.231 , 0.491 , 0.962 , 1.042 , 1.170 , 1.112 , 0.035 , 0.102 , 0.027 ,-0.121 , 0.084 , 0.865 , 1.442 , 0.479 , 1.718 , 0.368
 2.680 , 4.638 , 1.970 , 3.716 , 2.789 , 3.486 , 1.851 , 1.909 , 1.947 , 1.891 , 1.869 , 0.097 , 0.243 , 0.218 , 0.248 , 0.165 , 0.003 , 0.007 , 0.021 , 0.003 , 0.004
 0.032 , 0.467 , 1.742 , 1.423 ,-1.132 , 0.271 , 0.438 , 1.181 , 1.127 , 1.133 , 0.714 , 0.008 , 0.062 ,-0.021 , 0.028 , 0.008 , 0.905 , 0.573 , 1.118 , 1.156 , 0.758
 0.954 , 1.137 , 0.270 , 2.377 , 1.650 , 0.865 , 0.488 , 0.964 , 1.887 , 1.160 , 0.726 ,-0.041 , 0.022 , 0.251 , 0.078 ,-0.142 , 1.255 , 0.619 , 0.001 , 0.504 , 1.905
 0.587 , 0.839 , 0.027 , 2.036 ,-0.598 , 1.422 , 0.465 , 1.037 , 1.157 , 1.009 , 0.766 ,-0.078 ,-0.133 , 0.072 ,-0.011 , 0.055 , 1.528 , 2.888 , 0.536 , 0.657 , 0.477
 2.186 , 2.680 , 2.753 , 1.686 , 3.347 , 2.258 , 0.752 , 1.922 , 1.152 , 1.889 , 1.085 , 0.068 , 0.235 , 0.066 , 0.245 , 0.095 , 0.458 , 0.012 , 0.594 , 0.005 , 0.335
 2.355 , 3.541 , 3.151 , 3.426 , 2.278 , 2.577 , 1.038 , 1.946 , 1.906 , 1.927 , 1.095 ,-0.002 , 0.230 , 0.241 , 0.231 , 0.004 , 0.845 , 0.016 , 0.007 , 0.014 , 0.874
 0.384 , 0.248 ,-1.092 , 1.306 , 0.186 , 0.474 , 0.449 , 1.010 , 1.173 , 1.091 , 0.688 ,-0.003 , 0.140 , 0.058 ,-0.033 ,-0.010 , 0.923 , 1.529 , 0.605 , 0.371 , 1.015
