trueloc,facrasch,facse,idall,id1,id2,id3,id4,  seall,se1,se2,se3,se4,  zall,z1,z2,z3,z4,  zzall,zz1,zz2,zz3,zz4
-0.182,-0.939, 0.456,-0.939,-0.376,-1.285,-0.895,-1.052, 0.456, 0.959, 0.966, 1.158, 0.715, 0.039, 0.343,-0.138,-0.070, 0.030, 1.323, 2.181, 1.099, 0.608, 1.723
 1.217, 2.372, 0.637, 2.372, 3.405, 1.944, 1.624, 2.322, 0.637, 1.894, 1.171, 1.198, 1.089, 0.076, 0.411,-0.031,-0.092, 0.046, 0.483, 0.016, 0.659, 0.635, 0.621
 0.651, 1.042, 0.460, 1.042, 0.760, 3.168,-0.457, 1.186, 0.460, 0.963, 1.915, 0.986, 0.753,-0.007,-0.229, 0.698,-0.720, 0.108, 1.255, 2.426, 0.084, 1.579, 0.927
 1.565, 2.109, 0.632, 2.109, 0.549, 2.714, 3.104, 2.283, 0.632, 0.921, 1.910, 1.916, 1.080, 0.040,-0.723, 0.329, 0.385, 0.104, 0.718, 2.119, 0.015, 0.039, 0.508
 0.439, 0.135, 0.437, 0.135,-0.829,-0.694, 1.567, 0.330, 0.437, 1.199, 0.971, 1.175, 0.717, 0.020,-0.368,-0.334, 0.603, 0.100, 0.747, 0.319, 0.664, 0.818, 0.843
 2.430, 2.244, 0.637, 2.244, 1.674, 3.087,-0.034, 3.928, 0.637, 1.170, 1.891, 0.972, 1.875, 0.004,-0.156, 0.378,-0.955, 0.377, 0.963, 1.294, 0.009, 2.698, 0.032
-0.274,-0.087, 0.443,-0.087,-1.065,-0.465, 1.556,-0.272, 0.443, 1.178, 0.944, 0.982, 0.685, 0.065,-0.382,-0.193, 1.145,-0.123, 1.787, 0.407, 0.963, 3.626, 1.708
 0.823, 0.998, 0.476, 0.998, 1.134, 0.113,-0.112, 3.451, 0.476, 1.230, 0.946, 0.919, 1.884, 0.053, 0.133,-0.395,-0.554, 0.541, 0.674, 0.334, 0.920, 1.275, 0.089
-1.776,-1.641, 0.568,-1.641,-1.778,-1.448,-2.761,-1.038, 0.568, 1.174, 1.221, 1.886, 0.801, 0.001,-0.116, 0.222,-0.430, 0.165, 1.035, 0.598, 2.602, 0.016, 1.164
 1.548, 2.061, 0.642, 2.061, 1.886, 0.971, 2.219, 2.439, 0.642, 1.173, 1.159, 1.887, 1.088,-0.022,-0.181,-0.487, 0.271, 0.144, 1.147, 2.255, 3.008, 0.002, 0.507
 2.297, 3.777, 1.037, 3.777, 3.064, 2.821, 3.969, 2.669, 1.037, 1.919, 1.888, 1.910, 1.084, 0.052, 0.168, 0.152, 0.252,-0.155, 0.421, 0.006, 0.002, 0.021, 1.028
-0.361, 0.405, 0.433, 0.405, 0.424, 1.546,-0.965, 0.572, 0.433, 0.988, 1.152, 0.964, 0.668, 0.013, 0.073, 0.462,-0.652, 0.091, 1.281, 1.633, 0.505, 1.617, 1.380
 0.554, 1.210, 0.486, 1.210, 1.437, 1.579, 2.887, 0.345, 0.486, 1.147, 1.174, 1.896, 0.677, 0.012, 0.140, 0.121, 0.568,-0.383, 0.980, 0.656, 1.268, 0.032, 1.383
 1.224, 1.140, 0.486, 1.140, 0.381, 1.572, 0.990, 1.450, 0.486, 0.948, 1.127, 1.155, 0.824, 0.057,-0.290, 0.209, 0.034, 0.167, 0.661, 1.141, 0.670, 0.672, 0.564
 0.136, 0.890, 0.471, 0.890, 0.140, 2.680, 1.382, 0.469, 0.471, 0.997, 1.934, 1.172, 0.689, 0.005,-0.347, 0.554, 0.217,-0.199, 0.910, 1.571, 0.122, 0.680, 1.065
 0.392, 0.346, 0.433, 0.346,-0.083, 0.664, 0.540, 0.296, 0.433, 0.984, 0.949, 0.992, 0.702,-0.031,-0.279, 0.155, 0.087,-0.059, 1.101, 2.350, 0.970, 0.863, 1.014
-1.141,-1.248, 0.541,-1.248,-1.529,-1.525, 0.494,-2.153, 0.541, 1.204, 1.161, 1.004, 1.132,-0.042,-0.076,-0.153, 0.579,-0.281, 0.732, 1.392, 0.713, 1.288, 0.157
 1.395, 2.014, 0.568, 2.014, 3.069, 2.684, 0.731, 2.178, 0.568, 1.888, 1.903, 0.938, 1.076, 0.015, 0.423, 0.339,-0.752, 0.033, 0.909, 0.006, 0.016, 2.059, 1.020
-0.494,-1.478, 0.505,-1.478,-1.248,-2.086,-1.341,-1.348, 0.505, 1.118, 1.188, 1.134, 0.770,-0.003, 0.088,-0.205, 0.088, 0.007, 0.998, 1.418, 1.266, 1.576, 0.737
-1.890,-1.824, 0.518,-1.824,-1.565,-2.081,-2.017,-1.701, 0.518, 1.188, 1.168, 1.140, 0.808,-0.072,-0.017,-0.154,-0.137,-0.025, 0.567, 0.561, 0.596, 0.623, 0.712
 2.835, 2.927, 0.760, 2.927, 1.802, 2.013, 3.004, 3.912, 0.760, 1.266, 1.162, 1.896, 1.869, 0.084,-0.147,-0.230, 0.254, 0.270, 0.374, 0.589, 1.309, 0.007, 0.013
 0.961, 0.794, 0.451, 0.794, 0.739, 0.264, 1.565, 0.716, 0.451, 1.005, 1.012, 1.143, 0.696,-0.017,-0.018,-0.374, 0.323,-0.008, 0.953, 0.948, 2.245, 0.642, 0.701
 0.156, 0.185, 0.438, 0.185, 0.729, 1.649,-0.016,-0.639, 0.438, 1.175, 1.136, 0.984, 0.704, 0.005, 0.239, 0.620,-0.101,-0.366, 0.875, 0.687, 0.725, 0.705, 0.992
 1.706, 1.237, 0.506, 1.237, 0.253, 2.056, 0.800, 1.969, 0.506, 0.934, 1.193, 1.177, 1.113, 0.056,-0.493, 0.326,-0.067, 0.256, 0.583, 1.288, 0.332, 0.898, 0.175
 1.534, 2.104, 0.643, 2.104, 1.687, 2.409, 1.950, 2.061, 0.643, 1.240, 1.909, 1.150, 1.076,-0.042,-0.295, 0.279,-0.006,-0.093, 1.296, 2.676, 0.014, 0.959, 1.739
 1.200, 1.872, 0.564, 1.872, 2.734, 2.666, 1.177, 1.401, 0.564, 1.889, 1.903, 1.131, 0.727, 0.004, 0.381, 0.359,-0.243,-0.238, 0.969, 0.010, 0.019, 1.709, 1.563
 0.804, 1.392, 0.517, 1.392, 0.174, 1.751, 0.793, 2.025, 0.517, 1.095, 1.251, 1.126, 0.835,-0.049,-0.493, 0.007,-0.168, 0.204, 1.546, 2.402, 2.252, 1.348, 1.265
-1.531,-1.120, 0.498,-1.120,-1.284,-2.906, 0.838,-1.276, 0.498, 1.180, 1.891, 1.051, 0.828, 0.019,-0.142,-0.604, 1.064,-0.111, 1.172, 0.420, 0.027, 3.232, 0.635
-0.131, 0.264, 0.436, 0.264,-0.550, 0.960, 1.329,-0.292, 0.436, 1.038, 0.961, 0.937, 0.660, 0.006,-0.342, 0.302, 0.551,-0.241, 1.080, 0.922, 1.248, 1.451, 0.922
 0.473, 0.320, 0.453, 0.320,-1.393,-1.103, 1.678, 1.213, 0.453, 1.293, 0.950, 1.146, 0.851,-0.060,-0.760,-0.806, 0.550, 0.357, 1.476, 2.008, 2.186, 0.491, 0.872
 1.967, 2.098, 0.586, 2.098, 1.049, 2.288, 2.032, 2.558, 0.586, 1.213, 1.157, 1.254, 1.101, 0.068,-0.167, 0.124,-0.007, 0.194, 0.557, 0.755, 0.712, 1.199, 0.248
 0.730, 0.494, 0.425, 0.494, 0.664, 0.368, 0.386, 0.513, 0.425, 0.936, 0.961, 0.997, 0.658,-0.000, 0.098,-0.034,-0.065,-0.001, 1.004, 1.290, 1.140, 1.316, 1.005
