school,used,ploc,m_CC,m_EE,m_F,m_G,m_MD,m_NBT,m_NF,m_NS,m_OA,m_RP,m_SP,s_CC,s_EE,s_F,s_G,s_MD,s_NBT,s_NF,s_NS,s_OA,s_RP,s_SP,n_CC,n_EE,n_F,n_G,n_MD,n_NBT,n_NF,n_NS,n_OA,n_RP,n_SP
3934,3,.05, , , , , ,-.8044,.460714285714286, ,.05625, , , , , , , ,.530620852293697,.909567219875765, ,.59272415892338, , , , , , , ,10,14, ,8, , 
4054,6,-.07, , , , ,-.0385,.4206,-.723,-.9835,.0732, ,.0875, , , , ,1.32371207846218,1.05843955897349,1.44636509913645,.243951839509359,.858225902661997, ,.857720525579282, , , , ,4,5,3,2,5, ,2
803,4,.74, , , , ,-.0435714285714285,-.000499999999999982,-.0664545454545454, ,.0745, , , , , , ,.775549237023427,1.08122851423739,.829400309095236, ,.524128133188822, , , , , , ,7,6,11, ,6, , 
3933,4,.33, , , , ,-.0616666666666667,.5276,-.4934, ,.777333333333333, , , , , , ,.690860526203855,2.2561190472924,.824929518874862, ,.574172331854006, , , , , , ,6,10,10, ,6, , 
2407,4,2.11, , , , ,-.094375,.504666666666667,-.0917142857142857, ,-.265, , , , , , ,.824076788637702,.358021600838087,1.31551621227635, ,1.07583130647886, , , , , , ,8,6,7, ,3, , 
3934,4,-.37, , , , ,-.1675,2.802,-.44375, ,.614, , , , , , ,.83788253523817,0,.762330418300796, ,1.22654129794131, , , , , , ,8,2,16, ,10, , 
3911,4,-1.06, , , , ,-.1725,.0388,.4005, ,.036, , , , , , ,.611101600936102,.557770293221143,1.50880581918284, ,.660401140721809, , , , , , ,10,5,4, ,7, , 
1357,4,2.12, , , , ,-.182444444444444,-.295,.418833333333333, ,.24475, , , , , , ,.779395296225078,.827093706903879,.331930364183012, ,.162940611442154, , , , , , ,9,3,6, ,8, , 
3934,4,-.13, , , , ,-.2905,-.243,.183375, ,.0625, , , , , , ,.372759209908258,.94557207311476,.707846299229807, ,1.31543420316531, , , , , , ,8,12,16, ,8, , 
803,4,-.41, , , , ,-.379285714285714,.3055,-.218454545454545, ,.356, , , , , , ,.423771838880985,.869306792795271,.886303826420304, ,.568348484646524, , , , , , ,7,6,11, ,6, , 
803,4,1.88, , , , ,-.401,.152333333333333,.131083333333333, ,.168666666666667, , , , , , ,.816966747589317,1.35019252948114,1.36710919018153, ,.421454465709721, , , , , , ,7,6,12, ,6, , 
1357,4,1.15, , , , ,-.4204,-.15275,.315909090909091, ,-.0686, , , , , , ,.878439411684153,.64172685555683,.753693366634662, ,.839941545585168, , , , , , ,5,8,11, ,5, , 
2064,6,.95, , , , ,-.436,.4745,.00574999999999999,-.2885,.538, ,-.4185, , , , ,1.50896587105209,.139059939114997,.833322816600306,1.39936431996818, , ,1.37108004872072, , , , ,2,4,4,2,1, ,2
3999,7,.41, , , , ,-.5255,.035,.33075,-.2735,-.6148,.8135,.685, , , , ,.757177874302553,1.00208981633385,.953276586306409,1.69069231381704,.889020640930232,.262336615820209,.0667008245826092, , , , ,4,5,4,2,5,2,3
3935,4,.55, , , , ,-.5448,.341142857142857,.147714285714286, ,.0024, , , , , , ,.945241039218157,.770098181267304,.805976658239166, ,.610327635145438, , , , , , ,10,14,14, ,10, , 
3936,4,.75, , , , ,-.547333333333333,.15175,.729, ,.187, , , , , , ,1.29940667112713,.543932440657845,.16974097914175, ,.500535713011569, , , , , , ,12,8,4, ,12, , 
3910,4,.57, , , , ,-.55575,-.05975,.2776, ,.280666666666667, , , , , , ,.35522985516423,.48004400839923,.987854139030657, ,.85231058501777, , , , , , ,4,4,5, ,3, , 
803,4,.33, , , , ,-.581142857142857,-.240833333333333,-.0125833333333333, ,.168166666666667, , , , , , ,3.17796388843399,.780367968760038,.959393222855262, ,.517167832204079, , , , , , ,7,6,12, ,6, , 
2064,7,.57, , , , ,-.596,-1.026,.1015,-.443333333333333,.9528,.305666666666667,.0290000000000001, , , , ,1.0984168152391, ,1.38267337671146,.958107683579113,.739573660969616,.697310069720303,1.01725562175886, , , , ,5,1,4,3,5,3,3
3910,4,2.15, , , , ,-.6575,-.386,.165857142857143, ,.4618, , , , , , ,1.23727810131757,2.51879270021704,1.2220702964739, ,.302424701372094, , , , , , ,6,4,7, ,5, , 
3933,4,1.12, , , , ,-.75225,.81,.148666666666667, ,-.4592, , , , , , ,.454082670257929,1.17137222473853,.789332437550679, ,.598828263268267, , , , , , ,8,10,12, ,10, , 
4119,7,-.03, , , , ,-.98775,.693833333333333,-.485833333333333,-.94,.7205,.781,-.383666666666667, , , , ,2.30258570235001,.296569328600694,.996091645716732, ,.149386523265432, ,1.23840313845425, , , , ,4,6,6,1,4,1,3
3929,4,-.49, , , , ,.000200000000000038,.0666666666666667,-.828, ,.8795, , , , , , ,1.37632583351472,.652038667750943,.26792685569013, ,.358954434036252, , , , , , ,20,12,6, ,8, , 
3960,4,2.46, , , , ,.0243333333333333,.151666666666667,.0604285714285715, ,.893, , , , , , ,.632575581781866,1.07173146512237,1.19582145505964, , , , , , , , ,6,3,7, ,1, , 
2407,4,.63, , , , ,.03025,.0161428571428572,.148555555555556, ,-.315, , , , , , ,1.3511583610616,.759097364982786,.820971697306173, ,.561494879762941, , , , , , ,4,7,9, ,5, , 
4054,6,.32, , , , ,.03475,.154666666666667,.00871428571428571,-.828,-.0384, ,.179, , , , ,.91997875881276,.901075098609063,.939787336632729, ,.826824830299623, ,1.14551298552221, , , , ,4,3,7,1,5, ,2
3930,4,.9, , , , ,.038,-.6236,-.112857142857143, ,.472, , , , , , ,.647216810659303,1.22484549592546,.497455194293587, ,.814831446198713, , , , , , ,6,10,14, ,8, , 
3934,4,-1.54, , , , ,.04,-.1566,.276666666666667, ,-.353333333333333, , , , , , ,.660078446516439,1.10848838013255,.953455330189447, ,.359215070210962, , , , , , ,10,10,6, ,6, , 
3910,4,2.28, , , , ,.051,.2048,-.201, ,-.316666666666667, , , , , , ,1.01196022649114,.814305041124025,2.04759395388832, ,.96528355074213, , , , , , ,5,5,5, ,3, , 
2064,6,.84, , , , ,.0876666666666667,-.05,-.078,-1.075,-.08725, ,.611, , , , ,.894735864189352,.911347902834038,1.28820055374412, ,1.03602714732771, ,.138459380325061, , , , ,6,5,4,1,4, ,3
3905,4,1.31, , , , ,.104666666666667,-.10375,-.027, ,-.305, , , , , , ,1.08582518543886,.766258605171909,1.23658303400944, ,.810344371239783, , , , , , ,3,4,6, ,2, , 
3480,4,2.11, , , , ,.157,.496,-.331666666666667, ,-.0496, , , , , , ,.529328820299821,.248065851472279,1.9549672802036, ,.660988880390586, , , , , , ,3,4,6, ,5, , 
3911,4,1.11, , , , ,.171,.294571428571429,-.220222222222222, ,.2146, , , , , , ,.91591839156117,.95684670613825,.876429514818188, ,.650211734744921, , , , , , ,5,7,9, ,5, , 
803,4,3.41, , , , ,.172428571428571,.3085,-.16325, ,.0706666666666667, , , , , , ,.33493872929381,.222232985850436,1.01663411895243, ,.213519710253332, , , , , , ,7,6,12, ,6, , 
3480,4,.93, , , , ,.273,-1.012,.4392, ,-.09875, , , , , , ,1.02363502610387,1.32267935141767,.566474800851724, ,1.54749526116668, , , , , , ,4,4,5, ,4, , 
